Timestamp,Where are your classes? (ex. Neuroscience Building),How do you stay hydrated during the summer?,Have you ever had to go to McCosh or other medical places because of excess heat?,How well do you think Princeton is good at notifying students of heatwaves? ,Does the heat distract you from your academics during classes?,SPIA,ECON,Math and Physics Buildings,Frick Chemistry Lab,McCosh Hall,East Pyne,Firestone,Frist,EQuad,Aaron Burr,What do you think Princeton can do to mitigate the effects of heatwaves?
11/20/2023 16:46:17,East Pyne,Water and shade ,Never,3,Not really because they’re indoors ,,,,,,4,4,4,,,Princeton has heatwaves? 
11/20/2023 16:48:27,"Fine/Jadwin, aka the suffer square",I drink tap water,Never,1,Yessss,3,3,4,4,4,4,4,4,4,2,Air con in dorms. Send Notifications. Cancel outdoor events during heat.
11/20/2023 18:56:36,MCOSH; equad; friend,Water,Never,3,Yes,3,3,3,3,3,2,3,3,3,3,Install ac in non air-conditioned dorm
11/20/2023 19:52:20,"Fine, Jadwin","Water, stay inside",Never,3,Nope,,,5,,,,4,4,,,
11/21/2023 9:01:36,Mcdonnell and Fine,Drinking lots of water ,Never,4,Yes ,3,3,4,4,3,4,4,5,3,3,Provide water stations across campus 
11/21/2023 18:52:51,"JRR
McDonnell Hall
Fine hall (studio lab)
Friend Center",Water,Never,3,Not really because there’s air conditioning ,3,2,4,5,3,3,3,2,1,3,Paint certain areas white/have white surfaces on buildings to reflect the sun and reduce heat absorption
11/22/2023 12:43:26,"East Pyne, McCosh, Fine, Friend",I have a massive 1.5 liter water bottle I carry around everywhere ,Never,3,"It’s happened once, in McCosh basement in the beginning of the school year",3,4,4,3,2,4,3,3,3,3,
11/23/2023 2:27:01,"McCosh, Frist, Friend, Lewis Library",Drink lots of water!,Never,1,Sometimes during the summer! ,3,3,4,3,1,4,5,5,3,3,"More electric fans, more awareness, get AC for Roma, fix Butler ACs that act weird and turn off for eco reasons! "
11/23/2023 17:41:07,"Lewis Library, Fine Hall, Friend Center",Drinking water from water bottle,Yes - once in a year,3,"No, though the cold does ",,,2,4,3,,3,3,3,,"More heat-protective building? It might help with the cold as well, though I don’t know much about that. I wouldn’t support it if it worsened the cold."
11/26/2023 19:31:16,"East Pyne, McCosh Hall, Friend Center",Water,Never,1,At the beginning of the year,,,,,2,5,3,3,,,More AC
11/26/2023 19:36:45,"East Pyne, Lewis Thomas Laboratory, Madison Hall","I carry a water bottle around. Usually, I end up drinking a bottle of water per day.",Never,2,Not really.,5,,,,,5,5,5,,,Install air conditioning to places that don't have it and make alerts warning students of heat waves on very hot days.
11/26/2023 19:39:20,"Architecture building, Lewis Library, Fine Hall, McCosh Hall",Drink water,Never,3,I don’t think so,4,4,4,4,4,4,5,5,4,,
11/26/2023 20:19:31,"Mcdonnel, Jadwin, Fine, New South, Friend Center",Drinking liquids (NOT CUM),Never,1,"Unless there is a hot babe sweating in class, THEN no 🙄. Usually when rooms are HOT in miami and ac breaks, we open the doors and windows, but usually they dont cause class to be cancel",4,3,4,3,3,3,4,4,4,3,"uhhhhh Princeton is like cold af all school year around when tf does it get heatwaves???? But ig Princeton can make sure that the AC is always running and cancel class when it's too hot outside, or like switch class from non-AC to AC 😎"
11/26/2023 22:51:24,"Friend Center, Jones Hall, McCosh Hall, SPIA Building, Lewis Library",Drinking lots of water and smoothies,Never,3,"Yes, if it is severe. It can definitely be hard to concentrate if I'm suffering from the effects of the heat outside.",4,4,4,3,2,2,3,3,3,3,"Distribute more fans, ensure all buildings are sufficiently air-conditioned, distribute hats and sunscreen, possibly offering Zoom options for class so that students don't have to travel in heat"
11/27/2023 1:00:29,"McCosh, Neuroscience, Friends Center, Blair Arch",Eat a lot of fruit,Never,3,Not really,,,4,4,3,,4,4,,,"I don’t know, stop climate change"
11/27/2023 10:20:07,"Aaron Burr, Friend, Equad, McCosh, Fine, Lewis","Water, shade, indoors",Never,3,Yes,3,3,2,3,2,3,3,4,3,4,Install AC in all buildings and provide drinks that replenish electrolytes
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,3.8,3.6,3.4,3.9,2.4,3.2,3.9,4.0,3.5,3.5,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,3.576950087,,,,,,,
